token,chain,address,balance,share,post_exclusion_rank,tier1_label,tier2_label,tier3_label,final_classification,classification_source,confidence,vesting_status,notes
HNT,solana,2adzqmgikamwahujrb27pgabqyf6iyq8auuyyddwrrg6,1900151.64675763,0.064568,4,,,,,,,,
HNT,solana,u6pj8dtqupfnfmwhbgfulq4u4egjdiyykjvesynxq2w,1757558.9960618,0.059723,5,,,,,,,,
HNT,solana,6fevkh17p9y8q9ackddpcmdjvj7svxrtetayem8f51jy,1543138.72595651,0.052437,6,,,,,,,,
HNT,solana,22wnk8pwywzv7bfkzgjekt9jggdtvu7xy6exerh7zkba,1505924.41443501,0.051172,7,,,,,,,,
HNT,solana,73zsmmqcxjvhhhnsib26y8p3jyih3uuuykv71rjdnctw,1136178.59461887,0.038608,8,,,,,,,,
HNT,solana,53unsggwqewancpyrf35b2bgf8bkszutccckixwgglyr,1123948.81843443,0.038192,9,,,,,,,,
HNT,solana,efe3j1pcsp1pauza86zw7989zjsfp2j7ginyuqo4ewqr,963096.273228,0.032727,10,,,,,,,,
IOTX,ethereum,0x87c9dbff0016af23f5b1ab9b8e072124ab729193,1966208637.798387,0.1975041065722131,1,,Staking,,contract,tier2_blockscout,high,,
IOTX,ethereum,0x0000000000000000000000000000000000000004,1000000000.0,0.1004492111240867,2,,EVM precompile,,contract,tier2_blockscout,high,,EVM precompile (identity); artifact
IOTX,ethereum,0x0000000000000000000000000000000000000006,1000000000.0,0.1004492111240867,3,,EVM precompile,,contract,tier2_blockscout,high,,EVM precompile (bn256Add); artifact
IOTX,ethereum,0x0000000000000000000000000000000000000001,1000000000.0,0.1004492111240867,4,,EVM precompile,,contract,tier2_blockscout,high,,EVM precompile (ecRecover); artifact
IOTX,ethereum,0x0000000000000000000000000000000000000002,1000000000.0,0.1004492111240867,5,,EVM precompile,,contract,tier2_blockscout,high,,EVM precompile (SHA-256); artifact
IOTX,ethereum,0x0000000000000000000000000000000000000005,1000000000.0,0.1004492111240867,6,,EVM precompile,,contract,tier2_blockscout,high,,EVM precompile (modexp); artifact
IOTX,ethereum,0x0000000000000000000000000000000000000003,1000000000.0,0.1004492111240867,7,,EVM precompile,,contract,tier2_blockscout,high,,EVM precompile (ripemd160); artifact
IOTX,ethereum,0x0000000000000000000000000000000000000007,748218695.9351915,0.0751579777549829,8,,EVM precompile,,contract,tier2_blockscout,high,,EVM precompile (bn256ScalarMul); artifact
IOTX,ethereum,0x4761571eeec2fee2fb9f8d5c08ef7c7606a9f659,152506266.5188013,0.0153191341632933,9,,,,,,,,
IOTX,ethereum,0x58bc01f516c8d6986bc0fd67944f2718c2a94348,149474668.69174397,0.0150146125531199,10,,,,,,,,
JUP,solana,6tzt9aucqn4ihmh79yzexsy55kdlq4vba3pmtflvnsfx,103297561.092698,0.250747,1,,,,,,,,
JUP,solana,27b4prn7k37rptywq65t29rjunfqkypxzujkbthc5vvz,80127396.468181,0.194503,2,,,,,,,,
JUP,solana,43dbavkxhxh1osxkjsqgosnw3hpbnmswiak6tb5wpecn,30770089.031336,0.074692,3,,,,,,,,
JUP,solana,gem2vaypsg7ai7vjdkpttqfahpoqwkfgvkyzx3rpotka,17893775.910653,0.043436,4,,,,,,,,
