rank,voter,voting_power,dominance_full_pool,in_top_n
260,0x55D554BfdE1E61c72fa3C9059cDf3f739d92679a,2.3194033404,0.0000006524,0
261,0xc7e6DA4D1373BABa0033A9799470b3B4900f338C,2.3092163317,0.0000006495,0
262,0x9d9f224BFc20c24f51D597d2E6714D68974702c5,2.2335360759,0.0000006283,0
263,0xF473De0Df183cb762dd4817489D9357b0beB15fC,2.2037948009,0.0000006199,0
264,0x0516cf37B67235E07aF38ad8E388d0E68089b0F2,2.1845481717,0.0000006145,0
265,0x1b5b4fCEDF1252cd92496a2fd5C593b39aC49b01,2.1054817175,0.0000005922,0
266,0x707D306714FF28560f32bF9DAE973BD33cd851c5,2.1041112881,0.0000005919,0
267,0xe2B7cDD76873eae54E8806b4C5e5E8d69A9321d9,2.0878559119,0.0000005873,0
268,0x8D5fe65f1e78244972aF4106CDf8e559247491aE,2.0416835527,0.0000005743,0
269,0x9e9BeaEaEd692C5f82d5b46f90D656C26f1Cd10a,2.0303932490,0.0000005711,0
270,0x7a852e1995Cb9c1629A31dEb9719219Ca9AD6e44,2.0303800000,0.0000005711,0
271,0x19967977895a3Ce2B359CBaCAd719BfB3c612d4e,2.0000000000,0.0000005626,0
272,0x4FfD0A59a26cB2Aa76D403215e4cC2845C053994,1.9439782130,0.0000005468,0
273,0xB922a0a797026D5C45145503E1976989B05Cf307,1.8290563797,0.0000005145,0
274,0x398ee708F5bA84e12E5Ce1dA191e7171385Bdf75,1.7672016055,0.0000004971,0
275,0x4D32D90D6535bD4e7eaBaa27EE72932cB214BbfA,1.7000000000,0.0000004782,0
276,0xBAC78374F87D02d3b0d6FAf82d8794201D40b35B,1.6522310794,0.0000004647,0
277,0xC38794f367Dc4546A7Ec4D0F1d1C131BC7e370eF,1.6321836957,0.0000004591,0
278,0x22C83C13A60c316424274Fa0457B6690bf1cCc70,1.5915866169,0.0000004477,0
279,0x08Ad32F7f00c38E23763c8e82a11ee858777c9ab,1.5747522008,0.0000004430,0
280,0x2D5823E8e8B4dfbf599a97566ff2A121Cc141d60,1.5042607342,0.0000004231,0
281,0x5EC5B1906154Dd7517e39628Ef17358204d3f69B,1.5019390000,0.0000004225,0
282,0xA0619Ed0f8f67c386a8156aD305901284fAc235F,1.3923577971,0.0000003916,0
