rank,address,balance,reserved,lock,display
878,12HdAahUqLBXAb3ijZwV7RZM9U6vdrpWDvrJzk3PY8qsg78B,134506.5339949997,134477.9522747483,134477.9522747483,
879,15mfAnb8fk17XFKdkXqd17Ugem8eWx7p3aMfiUpzKYmxeTnP,134029.5896518774,123953.8640491505,123953.8640491505,
880,12oTJToJQMTY5LqfPizcKydQPpwyfvtciXsuZ4ehZ4Xj1LKf,133684.19315966,0.0,0.0,
881,12fmwm6Cf7Wjtsm9ZprfmzvAHUsLBWMy8Rg7rpfPfSPD6ibT,133627.8405155649,0.0,0.0,
882,148VoQHequNgGLfo6oV7hqFwDBXujBdddjGb8W8cRdZzjkCm,133192.4225160343,118089.2869761579,118089.2869761579,
883,13md6sYZx2nzZVthniBrPo6spZotTyMrTcHBndfQSTkc9DSQ,132794.8186023188,55000.0,55000.0,
884,1X8WEKBnp1tpobBeLapMhJQt8VdUgresTPjtWYjnvJapjmZ,132685.87673261,132050.0,132050.0,
885,12bTrXqz5z1AUeC9ecAqDsRG2WixUE7MqwUyM6AswpX2hbSX,132091.8822687937,132090.8722687937,132090.8722687937,
886,15RzQyEB9ubyAfYBUCwrQS1Vwxg4QEUKB3qMv33z4wTuN1Fc,131686.3342722055,131674.3837771689,0.0,
887,13VSPkvu887EH2ppsG5RH4YPaihatSXTXoN6CrovVtUekNa4,131471.6402385935,124183.4822710404,131364.8582963631,
888,152deMvsN7wxMbSmdApsds6LWNNNGgsJ8TTpZLTD2ipEHNg3,131405.3280169943,0.0,0.0,
889,13jcYA5qAshRbRqpBHMvcQg6DuUpPZ2EXK2AZq72Su2g38dG,131134.3592478479,129500.0,129500.0,
890,1TXQz38gsnXCndf9eJRMDALAqQa2591im5Zpx91mCxHo85q,130613.3268469396,127611.4887781577,127591.4477781577,
891,14fm59GH2AgyYmAJxfRJBHrHNGumPrg3sYj7n9aBqEzzyKrC,130576.15,0.0,0.0,
892,12nA5UqtcG51G2PwUMmxiiQLD3tMjatbqeRUB8PHzQkentdX,130301.3932065947,128328.2778942903,128328.2778942903,
893,153NB1Me1PX22NbwwLX5DwoztaMHSecg5AUZDCiR2Rv69Ec8,130205.13,0.0,0.0,
894,14KNi1UhifGDXXbg8zgC8zgEMUgeMh1nSPH76AoiydW39j8G,130094.3195594209,130085.4071178668,130065.3661178668,
895,145WBgmVqGLUPuAiLW2ifKdPn6cboXukyrZtN8wgBUAunQhP,130045.2689668169,130040.3012126298,130040.3012126298,
896,13UNPyxYk5sJomKU8xoDY51rbN2CQQJrbMbJSRiFP1jLuqdp,129854.7070394262,129516.5265506419,129516.5265506419,
897,13WRxPQDN3h7eujWuuHUGWfMHXP2RUaRtqo4DUk4UZM32tKg,129442.5589282317,128280.2321380328,128280.2321380328,
898,12x3R2Z1AtLSXZm8BqnhvAgsrJ87otF9ftcWhqavG7MUoEQo,129437.850195594,129435.3677605329,129435.3677605329,
899,157ma9ZCjAk6ht7og1skLUN3xbW5GBWFBjfNAvYFbsdEghPL,129045.0,0.0,0.0,
900,168mLj3E5hbt57vQCW1yrTdBtEt6MiDbbHk6jbhgiEpNrUiW,128196.4672002339,0.0,0.0,
901,1HkvNR6G8DCLTMtyciBsbcgYdnXYHjfwxsqNFtczMR4hwvq,128124.3871059554,128118.5244519832,0.0,
902,15TVphzaV7QrUL8D76sLvVE6yEjGMnwXi5qnbg11rq3vfxek,127909.9530678611,0.0,0.0,
903,124ukvDVcp6DpUirVgpjS97z3CeG6QwV9xJrHFESv9XXaT2m,127876.7592876037,0.0,0.0,
904,154jnYuSvtnpCRNjQuunWpcRhzzU2J7ZhHE5vCZiwq6oKWUR,127575.347521076,114091.7353080245,114080.5061640245,
905,165DYqBrpkLYxF6xWQf681KbjS3ewuxX2UXMJoQh5s8AB8dm,127322.9232132806,0.0,0.0,
906,13UVJyLnbVp8c4FQeiGXoyE9FA8adcjBHgx48pe3TYWm1b3m,126311.9525524069,0.0,0.0,Pool#54(Reward)
907,12e5PfGsN7g6mEXM8Gm5HXV7vBs1sQqPn66LwzdLNryaThep,126152.6089697187,0.0,0.0,
908,16Y6HPFwenaiQrFP4SjovCVKj87kdSpsGsKvg8yPAbLi7x7Y,125950.4819624835,125576.6302,125576.6302,
