token,month,incentive_emission_tokens,insider_unlock_tokens,burned_tokens
FIL,2033-09,0,0.0,0.0
FIL,2033-10,0,0.0,0.0
FIL,2033-11,0,0.0,0.0
FIL,2033-12,0,0.0,0.0
FIL,2034-01,0,0.0,0.0
FIL,2034-02,0,0.0,0.0
FIL,2034-03,0,0.0,0.0
FIL,2034-04,0,0.0,0.0
FIL,2034-05,0,0.0,0.0
FIL,2034-06,0,0.0,0.0
FIL,2034-07,0,0.0,0.0
FIL,2034-08,0,0.0,0.0
FIL,2034-09,0,0.0,0.0
FIL,2034-10,0,0.0,0.0
FIL,2034-11,0,0.0,0.0
FIL,2034-12,0,0.0,0.0
FIL,2035-01,0,0.0,0.0
FIL,2035-02,0,0.0,0.0
FIL,2035-03,0,0.0,0.0
FIL,2035-04,0,0.0,0.0
FIL,2035-05,0,0.0,0.0
FIL,2035-06,0,0.0,0.0
FIL,2035-07,0,0.0,0.0
FIL,2035-08,0,0.0,0.0
FIL,2035-09,0,0.0,0.0
FIL,2035-10,0,0.0,0.0
FIL,2035-11,0,0.0,0.0
FIL,2035-12,0,0.0,0.0
FIL,2036-01,0,0.0,0.0
FIL,2036-02,0,0.0,0.0
FIL,2036-03,0,0.0,0.0
FIL,2036-04,0,0.0,0.0
FIL,2036-05,0,0.0,0.0
FIL,2036-06,0,0.0,0.0
FIL,2036-07,0,0.0,0.0
FIL,2036-08,0,0.0,0.0
FIL,2036-09,0,0.0,0.0
FIL,2036-10,0,0.0,0.0
FIL,2036-11,0,0.0,0.0
FIL,2036-12,0,0.0,0.0
FIL,2037-01,0,0.0,0.0
FIL,2037-02,0,0.0,0.0
FIL,2037-03,0,0.0,0.0
FIL,2037-04,0,0.0,0.0
FIL,2037-05,0,0.0,0.0
FIL,2037-06,0,0.0,0.0
FIL,2037-07,0,0.0,0.0
FIL,2037-08,0,0.0,0.0
FIL,2037-09,0,0.0,0.0
FIL,2037-10,0,0.0,0.0
FIL,2037-11,0,0.0,0.0
FIL,2037-12,0,0.0,0.0
FIL,2038-01,0,0.0,0.0
FIL,2038-02,0,0.0,0.0
FIL,2038-03,0,0.0,0.0
FIL,2038-04,0,0.0,0.0
FIL,2038-05,0,0.0,0.0
FIL,2038-06,0,0.0,0.0
FIL,2038-07,0,0.0,0.0
FIL,2038-08,0,0.0,0.0
FIL,2038-09,0,0.0,0.0
FIL,2038-10,0,0.0,0.0
FIL,2038-11,0,0.0,0.0
FIL,2038-12,0,0.0,0.0
FIL,2039-01,0,0.0,0.0
FIL,2039-02,0,0.0,0.0
FIL,2039-03,0,0.0,0.0
FIL,2039-04,0,0.0,0.0
FIL,2039-05,0,0.0,0.0
FIL,2039-06,0,0.0,0.0
FIL,2039-07,0,0.0,0.0
FIL,2039-08,0,0.0,0.0
FIL,2039-09,0,0.0,0.0
FIL,2039-10,0,0.0,0.0
FIL,2039-11,0,0.0,0.0
FIL,2039-12,0,0.0,0.0
FIL,2040-01,0,0.0,0.0
FIL,2040-02,0,0.0,0.0
FIL,2040-03,0,0.0,0.0
FIL,2040-04,0,0.0,0.0
FIL,2040-05,0,0.0,0.0
FIL,2040-06,0,0.0,0.0
FIL,2040-07,0,0.0,0.0
FIL,2040-08,0,0.0,0.0
FIL,2040-09,0,0.0,0.0
FIL,2040-10,0,0.0,0.0
FIL,2040-11,0,0.0,0.0
FIL,2040-12,0,0.0,0.0
FIL,2041-01,0,0.0,0.0
FIL,2041-02,0,0.0,0.0
FIL,2041-03,0,0.0,0.0
FIL,2041-04,0,0.0,0.0
FIL,2041-05,0,0.0,0.0
FIL,2041-06,0,0.0,0.0
FIL,2041-07,0,0.0,0.0
FIL,2041-08,0,0.0,0.0
FIL,2041-09,0,0.0,0.0
FIL,2041-10,0,0.0,0.0
FIL,2041-11,0,0.0,0.0
FIL,2041-12,0,0.0,0.0
FIL,2042-01,0,0.0,0.0
FIL,2042-02,0,0.0,0.0
FIL,2042-03,0,0.0,0.0
FIL,2042-04,0,0.0,0.0
FIL,2042-05,0,0.0,0.0
FIL,2042-06,0,0.0,0.0
FIL,2042-07,0,0.0,0.0
FIL,2042-08,0,0.0,0.0
FIL,2042-09,0,0.0,0.0
FIL,2042-10,0,0.0,0.0
FIL,2042-11,0,0.0,0.0
FIL,2042-12,0,0.0,0.0
FIL,2043-01,0,0.0,0.0
FIL,2043-02,0,0.0,0.0
FIL,2043-03,0,0.0,0.0
FIL,2043-04,0,0.0,0.0
FIL,2043-05,0,0.0,0.0
FIL,2043-06,0,0.0,0.0
FIL,2043-07,0,0.0,0.0
FIL,2043-08,0,0.0,0.0
FIL,2043-09,0,0.0,0.0
FIL,2043-10,0,0.0,0.0
FIL,2043-11,0,0.0,0.0
FIL,2043-12,0,0.0,0.0
FIL,2044-01,0,0.0,0.0
FIL,2044-02,0,0.0,0.0
FIL,2044-03,0,0.0,0.0
FIL,2044-04,0,0.0,0.0
FIL,2044-05,0,0.0,0.0
FIL,2044-06,0,0.0,0.0
FIL,2044-07,0,0.0,0.0
FIL,2044-08,0,0.0,0.0
FIL,2044-09,0,0.0,0.0
FIL,2044-10,0,0.0,0.0
FIL,2044-11,0,0.0,0.0
FIL,2044-12,0,0.0,0.0
FIL,2045-01,0,0.0,0.0
FIL,2045-02,0,0.0,0.0
FIL,2045-03,0,0.0,0.0
FIL,2045-04,0,0.0,0.0
FIL,2045-05,0,0.0,0.0
FIL,2045-06,0,0.0,0.0
FIL,2045-07,0,0.0,0.0
FIL,2045-08,0,0.0,0.0
FIL,2045-09,0,0.0,0.0
FIL,2045-10,0,0.0,0.0
FIL,2045-11,0,0.0,0.0
FIL,2045-12,0,0.0,0.0
FIL,2046-01,0,0.0,0.0
FIL,2046-02,0,0.0,0.0
FIL,2046-03,0,0.0,0.0
FIL,2046-04,0,0.0,0.0
FIL,2046-05,0,0.0,0.0
FIL,2046-06,0,0.0,0.0
FIL,2046-07,0,0.0,0.0
FIL,2046-08,0,0.0,0.0
FIL,2046-09,0,0.0,0.0
FIL,2046-10,0,0.0,0.0
FIL,2046-11,0,0.0,0.0
FIL,2046-12,0,0.0,0.0
FIL,2047-01,0,0.0,0.0
FIL,2047-02,0,0.0,0.0
FIL,2047-03,0,0.0,0.0
FIL,2047-04,0,0.0,0.0
FIL,2047-05,0,0.0,0.0
FIL,2047-06,0,0.0,0.0
